Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
I4I Double Extra Large,i4i.2xlarge,i4i,0 units,Yes,x86_64,, $551.150 , $357.700 , $368.577 , $819.79 
I4I 32xlarge,i4i.32xlarge,i4i,0 units,Yes,x86_64,," $8,017.152 "," $5,202.389 "," $3,130.313 "," $12,315.39 "
I4I Quadruple Extra Large,i4i.4xlarge,i4i,0 units,Yes,x86_64,," $1,102.300 ", $650.430 , $657.365 ," $1,639.58 "
I4I Eight Extra Large,i4i.8xlarge,i4i,0 units,Yes,x86_64,," $2,204.600 "," $1,430.800 "," $1,760.103 "," $3,279.16 "
I4I Large,i4i.large,i4i,0 units,Yes,x86_64,, $137.970 , $89.060 , $85.045 , $205.13 
I4I Metal,i4i.metal,i4i,0 units,Yes,x86_64,," $8,016.860 "," $5,202.710 "," $7,052.384 "," $12,315.10 "
I4I Extra Large,i4i.xlarge,i4i,0 units,Yes,x86_64,, $275.940 , $178.850 , $155.198 , $410.26 
I7I 12xlarge Extra Large,i7i.12xlarge,i7i,0 units,Yes,x86_64,," $3,511.446 ", unavailable ," $1,617.315 "," $5,123.29 "
I7I 16xlarge Extra Large,i7i.16xlarge,i7i,0 units,Yes,x86_64,," $4,681.928 ", unavailable ," $2,185.547 "," $6,831.05 "
I7I 24xlarge,i7i.24xlarge,i7i,0 units,Yes,x86_64,," $7,022.892 ", unavailable ," $2,962.340 "," $10,246.57 "
I7I Double Extra Large,i7i.2xlarge,i7i,0 units,Yes,x86_64,, $585.241 , unavailable , $313.535 , $853.88 
I7I 48xlarge,i7i.48xlarge,i7i,0 units,Yes,x86_64,," $14,045.784 ", unavailable ," $8,315.430 "," $20,493.14 "
